Country	date	total	cum	increment	double1	double2	double3	double7
Poland	2020-03-18	13	251	5	1600	282.842712474619	158.74010519682	82.0335356007638
Iceland	2020-03-18	30	250	11	102400	2262.74169979695	634.96042078728	148.599428913695
Australia	2020-03-14	50	250	10	51200	1600	503.968419957949	134.590019263236
Israel	2020-03-17	32	250	9	25600	1131.37084989848	400	121.901365420447
Vietnam	2020-04-07	4	249	24	838860800	204800	12800	538.360077052941
Armenia	2020-03-24	14	249	8	12800	800	317.48021039364	110.408951367381
Serbia	2020-03-23	27	249	7	6400	565.685424949238	251.984209978975	99.9999999999999
United Arab Emirates	2020-03-24	50	248	14	819200	6400.00000000001	1269.92084157456	200
Lebanon	2020-03-22	61	248	11	102400	2262.74169979695	634.96042078728	148.599428913695
Sweden	2020-03-09	45	248	4	800	200	125.992104989487	74.2997144568474
France - Reunion	2020-03-31	23	247	9	25600	1131.37084989848	400	121.901365420447
Jordan	2020-03-28	11	246	10	51200	1600	503.968419957949	134.590019263236
Burkina Faso	2020-03-30	24	246	9	25600	1131.37084989848	400	121.901365420447
Austria	2020-03-11	64	246	5	1600	282.842712474619	158.74010519682	82.0335356007638
San Marino	2020-04-03	0	245	24	838860800	204800	12800	538.360077052941
San Marino	2020-04-02	9	245	23	419430400	144815.468787005	10159.3667325965	487.605461681789
Vietnam	2020-04-06	4	245	23	419430400	144815.468787005	10159.3667325965	487.605461681789
Cote d'Ivoire	2020-04-04	27	245	11	102400	2262.74169979695	634.96042078728	148.599428913695
Portugal	2020-03-15	76	245	4	800	200	125.992104989487	74.2997144568474
Dominican Republic	2020-03-23	43	245	3	400	141.42135623731	100	67.2950096316178
Iran	2020-02-27	106	245	3	400	141.42135623731	100	67.2950096316178
Mauritius	2020-04-06	17	244	11	102400	2262.74169979695	634.96042078728	148.599428913695
India	2020-03-20	50	244	10	51200	1600	503.968419957949	134.590019263236
Latvia	2020-03-26	23	244	8	12800	800	317.48021039364	110.408951367381
Finland	2020-03-15	19	244	4	800	200	125.992104989487	74.2997144568474
Singapore	2020-03-16	17	243	33	429496729600	4634095.00118417	102400	1312.53656961222
Albania	2020-03-31	20	243	15	1638400	9050.96679918782	1600	220.817902734762
Bulgaria	2020-03-25	24	242	10	51200	1600	503.968419957949	134.590019263236
Vietnam	2020-04-05	1	241	22	209715200	102400	8063.49471932719	441.635805469524
Malta	2020-04-06	14	241	18	13107200	25600	3200	297.198857827389
Japan	2020-02-29	13	241	13	409600	4525.48339959391	1007.9368399159	181.144732852781
Montenegro	2020-04-07	8	241	13	409600	4525.48339959391	1007.9368399159	181.144732852781
North Macedonia	2020-03-28	22	241	8	12800	800	317.48021039364	110.408951367381
Vietnam	2020-04-04	3	240	21	104857600	72407.7343935026	6400	399.999999999999
South Africa	2020-03-21	38	240	6	3200	400	200	90.5723664263906
Belgium	2020-03-09	39	239	4	800	200	125.992104989487	74.2997144568474
Nigeria	2020-04-06	6	238	12	204800	3200	800	164.067071201527
Malaysia	2020-03-14	41	238	10	51200	1600	503.968419957949	134.590019263236
Uruguay	2020-03-27	21	238	9	25600	1131.37084989848	400	121.901365420447
Chile	2020-03-19	0	238	5	1600	282.842712474619	158.74010519682	82.0335356007638
Chile	2020-03-18	37	238	4	800	200	125.992104989487	74.2997144568474
Poland	2020-03-17	61	238	4	800	200	125.992104989487	74.2997144568474
Vietnam	2020-04-03	4	237	20	52428800	51200.0000000001	5079.68336629824	362.289465705562
Senegal	2020-04-07	11	237	16	3276800	12800	2015.8736798318	243.802730840895
West Bank and Gaza	2020-04-05	20	237	14	819200	6400.00000000001	1269.92084157456	200
Afghanistan	2020-04-01	63	237	8	12800	800	317.48021039364	110.408951367381
Bosnia and Herzegovina	2020-03-27	46	237	8	12800	800	317.48021039364	110.408951367381
San Marino	2020-04-01	0	236	22	209715200	102400	8063.49471932719	441.635805469524
San Marino	2020-03-31	6	236	21	104857600	72407.7343935026	6400	399.999999999999
Pakistan	2020-03-17	100	236	2	200	100	79.37005259841	60.9506827102238
Kuwait	2020-03-28	10	235	26	3355443200	409600.000000001	20318.733465193	656.268284806109
Chinese Taipei	2020-03-25	20	235	12	204800	3200	800	164.067071201527
Jordan	2020-03-27	23	235	9	25600	1131.37084989848	400	121.901365420447
Armenia	2020-03-23	41	235	7	6400	565.685424949238	251.984209978975	99.9999999999999
Peru	2020-03-20	0	234	4	800	200	125.992104989487	74.2997144568474
Peru	2020-03-19	89	234	3	400	141.42135623731	100	67.2950096316178
Vietnam	2020-04-02	15	233	19	26214400	36203.8671967513	4031.7473596636	328.134142403055
Iraq	2020-03-22	19	233	15	1638400	9050.96679918782	1600	220.817902734762
Montenegro	2020-04-06	19	233	12	204800	3200	800	164.067071201527
Cameroon	2020-04-01	40	233	9	25600	1131.37084989848	400	121.901365420447
Cuba	2020-04-02	21	233	8	12800	800	317.48021039364	110.408951367381
Nigeria	2020-04-05	18	232	11	102400	2262.74169979695	634.96042078728	148.599428913695
United Kingdom - Channel Islands	2020-04-03	39	232	8	12800	800	317.48021039364	110.408951367381
Oman	2020-04-02	21	231	12	204800	3200	800	164.067071201527
Costa Rica	2020-03-26	30	231	8	12800	800	317.48021039364	110.408951367381
Moldova	2020-03-28	32	231	8	12800	800	317.48021039364	110.408951367381
Colombia	2020-03-22	35	231	6	3200	400	200	90.5723664263906
San Marino	2020-03-30	6	230	20	52428800	51200.0000000001	5079.68336629824	362.289465705562
Cyprus	2020-03-30	16	230	11	102400	2262.74169979695	634.96042078728	148.599428913695
Philippines	2020-03-20	13	230	8	12800	800	317.48021039364	110.408951367381
